iter	MultiClass
0	0.9978541689
1	0.9216228527
2	0.8655780792
3	0.8194731196
4	0.7804043065
5	0.7492253912
6	0.7215562391
7	0.6992279586
8	0.6820362221
9	0.6640082666
10	0.6465847333
11	0.6314403961
12	0.6157923861
13	0.6029463431
14	0.5940457552
15	0.5806963734
16	0.5721175364
17	0.5652276157
18	0.5598813898
19	0.5495410147
20	0.5442911117
21	0.5374963258
22	0.5320474561
23	0.5262932195
24	0.5198770535
25	0.5146957116
26	0.5078708875
27	0.5019345725
28	0.4975416477
29	0.4941903915
30	0.4898930768
31	0.4841597881
32	0.482042998
33	0.4777195435
34	0.4729385138
35	0.4697038703
36	0.4658344723
37	0.4591942129
38	0.4563868404
39	0.4544164382
40	0.4518464479
41	0.4477401918
42	0.445271508
43	0.4427768533
44	0.4412463164
45	0.4394297272
46	0.4354251378
47	0.4334621551
48	0.431236346
49	0.4282949532
50	0.4258902553
51	0.4242575193
52	0.4212306677
53	0.4192717354
54	0.4169244358
55	0.4127841963
56	0.4082815345
57	0.4046091295
58	0.4023401737
59	0.3999530464
60	0.3970679772
61	0.3954108898
62	0.3919790305
63	0.3896394808
64	0.3867959451
65	0.3830332631
66	0.3798980072
67	0.3772224652
68	0.3740183201
69	0.3714055249
70	0.3692010785
71	0.3672247947
72	0.3638971131
73	0.3615829549
74	0.3597575748
75	0.3585011729
76	0.3568122218
77	0.3540038709
78	0.3518397191
79	0.3491392175
80	0.3474615184
81	0.3441101969
82	0.3424292102
83	0.3404903755
84	0.3389838356
85	0.3367740062
86	0.3356317808
87	0.3331670913
88	0.3317465485
89	0.3298392569
90	0.3287040261
91	0.3275089984
92	0.3263109023
93	0.3232016283
94	0.3210278536
95	0.319422433
96	0.3180744391
97	0.3161732156
98	0.3146349438
99	0.3127155383
100	0.3116755745
101	0.3102676118
102	0.3086165369
103	0.3066591583
104	0.3046414965
105	0.3035571777
106	0.3009962893
107	0.3000611154
108	0.2993472826
109	0.2980114464
110	0.2962039443
111	0.2947435201
112	0.2928824657
113	0.2923125913
114	0.2917768899
115	0.2907031239
116	0.2890136467
117	0.2867333317
118	0.2852477422
119	0.2841771089
120	0.2826253316
121	0.2816131683
122	0.2806238075
123	0.2786318681
124	0.2767119221
125	0.2752345515
126	0.273337988
127	0.2727228444
128	0.2713876171
129	0.2695115722
130	0.268720886
131	0.2676973476
132	0.2668302128
133	0.2659677188
134	0.2648451891
135	0.2635821574
136	0.2623885162
137	0.2612304275
138	0.2593663685
139	0.2585571151
140	0.2577478558
141	0.2560205555
142	0.2543383861
143	0.2530183928
144	0.2519188482
145	0.2497289849
146	0.2486832086
147	0.2476133481
148	0.2467245168
149	0.2448393385
150	0.2445412468
151	0.2430571256
152	0.2416797086
153	0.2411235339
154	0.2400941475
155	0.2393271642
156	0.238092481
157	0.2375568198
158	0.2360905582
159	0.2349746426
160	0.2345517004
161	0.2334336214
162	0.2327131012
163	0.2315204976
164	0.2306013989
165	0.2297815113
166	0.2295228718
167	0.2287261529
168	0.2279669415
169	0.2272234081
170	0.226797279
171	0.2258800888
172	0.2244676189
173	0.2232854793
174	0.2223574544
175	0.2219221929
176	0.22079181
177	0.2204355193
178	0.2192393442
179	0.2180431488
180	0.2172208748
181	0.2163528207
182	0.2157272203
183	0.2153378931
184	0.2151468137
185	0.2148835
186	0.2137081054
