iter	Passed	Remaining
0	123	61467
1	216	53916
2	392	65072
3	521	64664
4	683	67619
5	823	67791
6	959	67564
7	1088	66948
8	1226	66936
9	1353	66313
10	1487	66137
11	1652	67201
12	1775	66505
13	1862	64650
14	1963	63492
15	2089	63218
16	2216	62976
17	2347	62866
18	2466	62453
19	2544	61062
20	2614	59644
21	2680	58235
22	2745	56942
23	2812	55778
24	2890	54925
25	2955	53882
26	3020	52907
27	3102	52305
28	3168	51453
29	3233	50654
30	3296	49875
31	3366	49235
32	3430	48544
33	3499	47958
34	3580	47563
35	3643	46962
36	3717	46522
37	3787	46049
38	3860	45635
39	3924	45134
40	3993	44702
41	4058	44261
42	4135	43953
43	4203	43558
44	4268	43156
45	4333	42772
46	4398	42397
47	4466	42057
48	4531	41705
49	4605	41448
50	4679	41201
51	4746	40891
52	4811	40580
53	4876	40279
54	4951	40062
55	5018	39786
56	5086	39530
57	5159	39315
58	5224	39051
59	5288	38781
60	5351	38516
61	5421	38302
62	5486	38057
63	5563	37900
64	5632	37692
65	5698	37474
66	5764	37254
67	5832	37052
68	5902	36868
69	5972	36686
70	6046	36532
71	6111	36328
72	6176	36126
73	6240	35925
74	6308	35746
75	6372	35550
76	6437	35362
77	6503	35187
78	6583	35084
79	6649	34908
80	6722	34773
81	6791	34620
82	6860	34466
83	6924	34291
84	6988	34122
85	7061	33991
86	7127	33835
87	7197	33696
88	7273	33587
89	7349	33480
90	7414	33325
91	7483	33188
92	7553	33056
93	7629	32954
94	7713	32882
95	7777	32728
96	7844	32589
97	7908	32440
98	7975	32306
99	8047	32190
100	8112	32048
101	8179	31915
102	8243	31772
103	8308	31636
104	8374	31503
105	8443	31385
106	8510	31258
107	8585	31163
108	8652	31038
109	8723	30928
110	8792	30813
111	8860	30694
112	8923	30562
113	8986	30429
114	9051	30304
115	9120	30193
116	9185	30069
117	9248	29941
118	9330	29872
119	9395	29752
120	9460	29631
121	9526	29516
122	9606	29444
123	9675	29337
124	9740	29221
125	9815	29134
126	9880	29020
127	9944	28900
128	10021	28822
129	10087	28711
130	10152	28597
131	10216	28482
132	10285	28381
133	10349	28267
134	10414	28157
135	10479	28047
136	10554	27964
137	10634	27896
138	10701	27792
139	10771	27698
140	10837	27593
141	10904	27491
142	10974	27398
143	11044	27303
144	11110	27201
145	11176	27098
146	11241	26995
147	11308	26895
148	11373	26793
149	11452	26723
150	11518	26622
151	11584	26521
152	11666	26458
153	11731	26358
154	11800	26265
155	11865	26164
156	11932	26069
157	11998	25971
158	12073	25893
159	12139	25797
160	12205	25699
161	12269	25599
162	12338	25509
163	12506	25622
164	12749	25885
165	12981	26119
166	13195	26311
167	13385	26452
168	13550	26538
169	13680	26555
170	13745	26446
171	13813	26342
172	13879	26235
173	13945	26128
174	14048	26089
175	14283	26293
176	14516	26490
177	14769	26717
178	14954	26817
179	15151	26935
180	15246	26871
181	15321	26770
182	15390	26659
183	15454	26540
184	15517	26422
185	15584	26308
186	15658	26208
187	15724	26096
188	15788	25979
189	15852	25864
190	15924	25763
191	15989	25650
192	16053	25535
193	16122	25431
194	16188	25320
195	16254	25210
196	16318	25099
197	16389	24998
198	16454	24888
199	16523	24785
200	16587	24675
201	16657	24574
202	16730	24478
203	16799	24375
204	16865	24270
205	16936	24171
206	17006	24071
207	17071	23966
208	17134	23856
209	17197	23748
210	17266	23648
211	17333	23546
212	17406	23454
213	17476	23356
214	17542	23253
215	17607	23151
216	17686	23065
217	17750	22961
218	17814	22858
219	17882	22759
220	17946	22655
221	18010	22553
222	18075	22452
223	18150	22363
224	18218	22266
225	18283	22166
226	18349	22067
227	18417	21971
228	18480	21870
229	18546	21772
230	18612	21674
231	18688	21588
232	18751	21487
233	18819	21392
234	18888	21299
235	18951	21200
236	19017	21103
237	19081	21005
238	19150	20912
239	19216	20817
240	19281	20721
241	19345	20624
242	19414	20532
243	19479	20437
244	19550	20348
245	19622	20260
246	19695	20173
247	19762	20081
248	19832	19991
249	19896	19896
250	19961	19802
251	20030	19712
252	20097	19620
253	20161	19526
254	20234	19440
255	20304	19352
256	20370	19261
257	20438	19170
258	20502	19077
259	20567	18985
260	20632	18893
261	20716	18818
262	20783	18728
263	20857	18645
264	20926	18557
265	20993	18468
266	21057	18375
267	21122	18285
268	21191	18198
269	21258	18109
270	21332	18026
271	21400	17938
272	21466	17849
273	21532	17760
274	21598	17671
275	21668	17585
276	21745	17506
277	21816	17422
278	21885	17335
279	21949	17246
280	22014	17157
281	22079	17068
282	22150	16984
283	22218	16898
284	22289	16814
285	22357	16728
286	22426	16643
287	22491	16556
288	22559	16470
289	22626	16384
290	22691	16297
291	22772	16221
292	22836	16133
293	22899	16045
294	22976	15966
295	23043	15881
296	23107	15793
297	23170	15706
298	23242	15624
299	23310	15540
300	23374	15453
301	23440	15368
302	23506	15283
303	23582	15204
304	23651	15121
305	23719	15037
306	23795	14959
307	23864	14876
308	23929	14791
309	23994	14706
310	24059	14621
311	24128	14539
312	24193	14454
313	24264	14373
314	24332	14290
315	24394	14204
316	24460	14120
317	24527	14037
318	24600	13958
319	24672	13878
320	24739	13795
321	24829	13725
322	24896	13643
323	24960	13559
324	25028	13476
325	25093	13393
326	25158	13310
327	25223	13227
328	25292	13146
329	25371	13070
330	25437	12987
331	25507	12907
332	25573	12824
333	25637	12742
334	25705	12660
335	25782	12584
336	25850	12503
337	25921	12423
338	25990	12343
339	26055	12261
340	26118	12178
341	26184	12097
342	26256	12018
343	26323	11937
344	26387	11855
345	26466	11779
346	26533	11699
347	26598	11617
348	26663	11536
349	26732	11456
350	26809	11380
351	26873	11298
352	26942	11219
353	27016	11142
354	27081	11061
355	27150	10982
356	27215	10901
357	27279	10820
358	27343	10739
359	27422	10664
360	27489	10584
361	27555	10504
362	27620	10424
363	27687	10344
364	27751	10264
365	27836	10191
366	27901	10111
367	27966	10031
